Name,M_Vt,Mass,e_Mass,Age_FB10,error_FB10,[Fe/H]_FB10,Age_D11,error_D11,[Fe/H]_D11,Age_V13,error_V13,[Fe/H]_V13,Rgc,Rper,e_Rper,Rapo,e_Rapo,Lz,e_Lz,prog
NGC 4372,-7.79,222000.0,9480.0,12.54,0.9,-1.88,nan,nan,nan,nan,nan,nan,7.1,2.94,0.14,7.2,0.08,922.236,26.873,M-D
NGC 4590,-7.37,132000.0,11700.0,11.52,0.51,-2.0,13.0,1.0,-2.3,12.0,0.25,-2.27,10.2,8.86,0.42,29.2,2.85,2367.168,133.129,H99
NGC 4833,-8.17,180000.0,10800.0,12.54,0.64,-1.71,13.0,1.25,-2.3,12.5,0.5,-1.89,7.0,0.79,0.12,7.39,0.3,214.531,27.794,G-E
NGC 5024,-8.71,417000.0,33400.0,12.67,0.64,-1.86,13.25,0.5,-2.0,12.25,0.25,-2.06,18.4,9.09,0.16,21.96,1.83,751.213,45.382,H99
NGC 5053,-6.76,73000.0,15900.0,12.29,0.51,-1.98,13.5,0.75,-2.4,12.25,0.38,-2.3,17.8,10.28,0.09,17.69,1.35,683.101,45.464,H99
NGC 5139,-10.26,3340000.0,37000.0,11.52,0.64,-1.35,nan,nan,nan,nan,nan,nan,6.4,1.35,0.04,7.0,0.04,-483.508,5.372,G-E/Seq
NGC 5272,-8.88,360000.0,16000.0,11.39,0.51,-1.34,12.5,0.5,-1.6,11.75,0.25,-1.5,12.0,5.44,0.09,15.14,0.4,985.318,9.171,H99
NGC 5286,-8.74,359000.0,13000.0,12.54,0.51,-1.41,13.0,1.0,-1.7,12.5,0.38,-1.7,8.9,1.16,0.24,13.27,0.86,-372.465,106.429,G-E
NGC 5466,-6.98,54700.0,11400.0,13.57,0.64,-2.2,13.0,0.75,-2.1,12.5,0.25,-2.31,16.3,7.95,2.63,65.53,26.88,-982.994,77.406,Seq
NGC 5634,-7.69,220000.0,48200.0,11.84,0.51,-1.94,nan,nan,nan,nan,nan,nan,21.2,4.27,2.3,23.91,2.92,581.501,66.913,H99/G-E
NGC 5694,-7.83,367000.0,32800.0,13.44,0.9,-1.74,nan,nan,nan,nan,nan,nan,29.4,3.98,0.95,66.04,7.79,-1084.187,439.794,H-E
NGC 5824,-8.85,849000.0,46500.0,12.8,0.9,-1.6,nan,nan,nan,nan,nan,nan,25.9,15.17,5.45,38.26,9.87,2459.263,219.299,Sagittarius
NGC 5897,-7.23,153000.0,17900.0,12.3,1.2,-1.73,nan,nan,nan,nan,nan,nan,7.4,2.86,1.05,9.31,1.38,416.224,119.275,G-E
NGC 5904,-8.81,368000.0,6040.0,10.62,0.38,-1.12,12.25,0.75,-1.3,11.5,0.25,-1.33,6.2,2.9,0.05,24.2,1.06,361.045,8.462,H99/G-E
NGC 5927,-7.81,346000.0,3010.0,12.67,0.9,-0.64,12.25,0.75,-0.5,10.75,0.38,-0.29,4.6,3.99,0.02,5.42,0.17,1065.507,39.854,M-D
NGC 5946,-7.18,137000.0,24600.0,11.39,0.9,-1.22,nan,nan,nan,nan,nan,nan,5.8,0.83,0.43,5.82,0.81,136.375,36.543,Kraken
NGC 5986,-8.44,331000.0,24200.0,12.16,0.51,-1.35,13.25,1.0,-1.6,12.25,0.75,-1.63,4.8,0.67,0.31,5.05,0.46,133.229,42.208,Kraken
NGC 6093,-8.23,264000.0,7990.0,12.54,0.51,-1.47,13.5,1.0,-1.7,nan,nan,nan,3.8,0.35,0.1,3.52,0.26,-10.589,3.343,Kraken
NGC 6101,-6.94,130000.0,35600.0,12.54,0.51,-1.76,13.0,1.0,-1.8,12.25,0.5,-1.98,11.2,11.37,1.07,46.89,10.23,-3443.198,329.575,Seq/G-E
NGC 6121,-7.19,92900.0,1550.0,12.54,0.64,-1.05,12.5,0.5,-1.2,11.5,0.38,-1.18,5.9,0.55,0.08,6.16,0.09,189.563,1.559,Kraken
NGC 6144,-6.85,65200.0,17400.0,13.82,0.64,-1.56,13.5,1.0,-1.8,12.75,0.5,-1.82,2.7,2.27,0.31,3.36,0.51,-256.816,83.257,Kraken
NGC 6171,-7.12,81300.0,4620.0,13.95,0.77,-0.95,12.75,0.75,-1.0,12.0,0.75,-1.03,3.3,1.02,0.15,3.65,0.09,215.684,23.155,M-B
NGC 6205,-8.55,469000.0,19700.0,11.65,0.51,-1.33,13.0,0.5,-1.6,12.0,0.38,-1.58,8.4,1.55,0.04,8.32,0.15,-187.704,6.939,G-E
NGC 6218,-7.31,86700.0,3390.0,12.67,0.38,-1.14,13.25,0.75,-1.3,13.0,0.5,-1.33,4.5,2.35,0.1,4.79,0.08,565.103,22.949,M-D
NGC 6235,-6.29,112000.0,35800.0,11.39,0.9,-1.18,nan,nan,nan,nan,nan,nan,4.2,5.43,1.53,21.81,19.42,1439.151,383.643,G-E
NGC 6254,-7.48,189000.0,3990.0,11.39,0.51,-1.25,13.0,1.25,-1.55,11.75,0.38,-1.57,4.6,1.97,0.04,4.58,0.09,462.744,10.977,Kraken
NGC 6266,-9.18,690000.0,5140.0,11.78,0.9,-1.02,nan,nan,nan,nan,nan,nan,1.7,0.83,0.08,2.36,0.09,240.385,12.018,M-B
NGC 6273,-9.13,657000.0,33200.0,11.9,0.9,-1.53,nan,nan,nan,nan,nan,nan,1.7,1.22,0.11,3.33,0.25,-69.774,89.529,Kraken
NGC 6284,-7.96,239000.0,47200.0,11.14,0.9,-1.13,nan,nan,nan,nan,nan,nan,7.5,1.28,0.39,7.35,1.17,-5.983,7.95,G-E
NGC 6287,-7.36,135000.0,28700.0,13.57,0.9,-1.91,nan,nan,nan,nan,nan,nan,2.1,1.25,0.26,5.86,1.58,-66.093,48.954,Kraken
NGC 6304,-7.3,211000.0,17500.0,13.57,1.02,-0.66,12.75,0.75,-0.5,11.25,0.38,-0.37,2.3,1.77,0.23,3.01,0.42,458.354,67.857,M-B
NGC 6341,-8.21,312000.0,3730.0,13.18,0.51,-2.16,13.25,1.0,-2.4,12.75,0.25,-2.35,9.6,1.0,0.09,10.53,0.23,65.168,8.503,G-E
NGC 6342,-6.42,57800.0,10300.0,12.03,0.9,-0.69,nan,nan,nan,nan,nan,nan,1.7,1.12,0.34,1.88,0.37,120.97,32.541,M-B
NGC 6352,-6.47,59000.0,1840.0,12.67,0.9,-0.7,13.0,0.5,-0.8,10.75,0.38,-0.62,3.3,2.98,0.25,3.59,0.54,704.086,95.054,M-D
