MWnum,haloId,Mgal,Mhalo,zmerge,Rapomed,RapoIQR,eccmed,eccIQR,agemed,ageIQR,FeHmed,FeHIQR,Lzmed,LzIQR,Emed,EIQR,Enormmed,EnormIQR,Ngc
3,1608,34969032.6045,11982682251.9,2.237037,18.8108,2.971,0.697441,0.23406,12.0940295438,0.0432667778428,-1.38884,0.20321,-281.95836672,956.281830383,-91456.4068947,10336.8487062,-0.920134688124,0.103998105583,7
3,810,459704148.491,52057284247.8,2.478413,10.5115,8.4564875,0.666852,0.2555815,12.1356980017,0.190597998399,-1.381355,0.539325,61.4171981284,273.0759696,-108938.061039,22276.3418781,-1.09601603893,0.224120273063,18
3,1133,34462288.4068,27024191847.5,2.478413,7.43116,0.0,0.485376,0.0,13.0404538644,0.0,-2.06788,0.0,-310.071562654,0.0,-105096.493054,0.0,-1.05736636877,0.0,1
4,4961,818460680.609,60839221701.6,0.73563,22.7273,8.87285,0.841029,0.110069,10.6399019261,2.09888754261,-0.73785,0.892714,157.494544391,622.388718608,-58222.2099499,9712.93536734,-0.856605583433,0.142903449978,15
4,4213,265417506.478,45376856875.5,0.865051,39.7967,17.37725,0.829494,0.19427,11.0575290774,0.930149888441,-1.52171,0.222635,605.24770078,1141.7687442,-47194.9676301,7373.27695134,-0.69436513689,0.108480770657,11
4,2893,23928615.411,6986572465.59,1.486707,47.4043,0.0,0.797497,0.0,12.9761055762,0.0,-2.28416,0.0,19.1959566527,0.0,-33927.6905298,0.0,-0.499167743132,0.0,1
4,1276,689598398.169,88195904915.7,2.237037,8.021475,4.5782475,0.6506145,0.2364555,12.226392664,0.596223204425,-1.426355,0.93703,-66.2159008131,442.530351402,-78575.5515965,13548.4269334,-1.1560580795,0.199333865339,38
4,638,80715275.8974,19753751491.6,3.016505,13.664,14.7952,0.738991,0.151134,12.6070224472,0.0225623411216,-2.11923,0.21242,195.912658439,959.828808963,-70196.1205015,12175.6426306,-1.03277407039,0.179136509387,5
4,72,9317984.0528,11408037891.0,5.971162,4.68265,0.0,0.388614,0.0,13.121756842,0.0,-2.33383,0.0,323.871341954,0.0,-87308.2250485,0.0,-1.28453923547,0.0,1
5,38533,15035573.9087,2888809426.16,0.100639,81.1159,0.0,0.562635,0.0,13.0119787056,0.0,-2.37411,0.0,6831.83888527,0.0,-45478.841502,0.0,-0.563396725569,0.0,1
