NGC,NGCerr,logMGC,logMGCerr,logMhalo,logMs,T,dMpc,MVT,Name
    120.,    30.,    7.490,     0.097,    12.189,    10.597,   -2,   10.80,  -20.49,  NGC3384        
    400.,   200.,    8.050,     0.176,    12.507,    10.841,   -2,   25.23,  -21.10,  NGC3414        
    100.,    50.,    7.390,     0.176,    12.035,    10.433,   -2,   12.08,  -20.18,  NGC3489        
   4880.,  1400.,    9.190,     0.110,    14.367,    11.722,   -5,  141.60,  -22.10,  UGC-6203       
   1075.,   740.,    8.610,     0.227,    14.309,    11.689,   -5,   45.71,  -23.25,  NGC3557        
   6600.,  1650.,    9.370,     0.097,    14.254,    11.659,   -2,  152.70,  -22.80,  NGC3550        
    290.,    80.,    7.870,     0.106,    12.163,    10.571,    5,   12.42,  -20.50,  NGC3556        
    300.,   100.,    7.960,     0.125,    13.130,    11.156,   -5,   21.20,  -21.81,  NGC3585        
     29.,    10.,    6.820,     0.129,    11.814,    10.149,   -2,   20.32,  -19.66,  NGC3599        
    600.,   200.,    8.250,     0.125,    12.865,    11.033,   -2,   20.00,  -21.50,  NGC3607        
    450.,   200.,    8.100,     0.160,    12.396,    10.768,   -5,   23.00,  -21.11,  NGC3608        
    400.,   150.,    8.100,     0.138,    13.109,    11.146,   -5,   35.10,  -22.02,  NGC3610        
    450.,   145.,    8.100,     0.121,    12.869,    11.035,    3,   13.10,  -21.20,  NGC3628        
   3470.,   910.,    9.080,     0.101,    14.268,    11.666,   -5,  146.60,  -22.68,  IC712          
    590.,    40.,    8.220,     0.028,    12.511,    10.844,   -5,   36.31,  -21.21,  NGC3818        
  12000.,  3000.,    9.650,     0.097,    14.159,    11.610,   -5,   94.90,  -23.14,  NGC3842        
     13.,     5.,    6.380,     0.141,    11.124,     9.076,   -2,   13.60,  -17.68,  NGC3870        
   2800.,   300.,    8.960,     0.044,    13.552,    11.339,   -5,   22.91,  -22.28,  NGC3923        
    190.,    40.,    7.660,     0.083,    12.289,    10.686,    3,   17.74,  -20.07,  NGC4013        
    160.,    15.,    7.590,     0.039,    11.989,    10.379,   -5,   21.09,  -20.08,  NGC4033        
   8300.,   500.,    9.500,     0.025,    14.484,    11.797,   -4,   89.00,  -23.29,  NGC4073        
     21.,     6.,    6.540,     0.119,    10.959,     8.802,   -1,   19.24,  -16.83,  IC3025         
      7.,     4.,    6.180,     0.196,    11.639,     9.895,   -2,   13.74,  -19.11,  NGC4150        
      2.,     4.,    5.550,     0.464,    10.902,     8.708,   -5,   15.04,  -16.39,  IC3032         
      2.,     2.,    5.420,     0.301,    10.080,     7.335,   10,    2.91,  -14.21,  NGC4163        
    175.,   100.,    7.630,     0.196,    12.229,    10.634,   -3,   15.14,  -20.08,  NGC4203        
    620.,   310.,    8.280,     0.176,    13.068,    11.128,    3,   16.00,  -21.81,  NGC4216        
     16.,     6.,    6.430,     0.138,    10.929,     8.753,   -5,   18.22,  -17.12,  VCC-200        
     29.,     7.,    6.650,     0.091,    10.818,     8.569,   -5,   17.82,  -16.21,  IC3101         
      8.,     3.,    6.160,     0.138,    11.506,     9.692,   -5,   27.70,  -17.60,  IC3131         
   1242.,   250.,    8.600,     0.080,    13.525,    11.327,   -5,   31.62,  -22.14,  NGC4261        
    100.,    31.,    7.350,     0.117,    11.899,    10.265,   -2,   15.42,  -19.51,  NGC4262        
     16.,     7.,    6.540,     0.158,    10.868,     8.651,   -5,   11.60,  -16.17,  UGC-7369       
    179.,    17.,    7.650,     0.039,    12.085,    10.490,   -2,   15.82,  -20.22,  NGC4267        
   1380.,   110.,    8.480,     0.033,    12.412,    10.779,   -5,   16.07,  -20.97,  NGC4278        
    950.,   170.,    8.400,     0.071,    12.298,    10.693,   -5,   26.18,  -20.74,  NGC4291        
     42.,     8.,    6.890,     0.075,    11.166,     9.144,   -2,   17.17,  -17.82,  VCC-437        
      1.,     4.,    4.980,     0.835,    10.866,     8.649,   -5,   22.95,  -16.24,  NGC4309A       
     18.,     6.,    6.510,     0.115,    11.138,     9.099,   -2,   15.72,  -17.41,  VCC-543        
     11.,     6.,    6.280,     0.180,    11.065,     8.978,    0,   23.79,  -17.32,  VCC-571        
     18.,     6.,    6.560,     0.127,    11.578,     9.803,   -5,   22.08,  -18.50,  NGC4318        
